artistId,genreId
A1,G99
A2,G59
A3,G27
A4,G98
A5,G49
A6,G4
A7,G17
A8,G9
A9,G2
A10,G93
A11,G11
A12,G85
A13,G33
A14,G38
A15,G65
A16,G8
A17,G81
A18,G27
A19,G32
A20,G2
A21,G53
A22,G100
A23,G12
A24,G8
A25,G34
A26,G42
A27,G52
A28,G93
A29,G54
A30,G95
A31,G100
A32,G85
A33,G21
A34,G72
A35,G14
A36,G86
A37,G64
A38,G73
A39,G25
A40,G64
A41,G60
A42,G79
A43,G99
A44,G78
A45,G18
A46,G82
A47,G41
A48,G11
A49,G98
A50,G70
A51,G98
A52,G82
A53,G98
A54,G40
A55,G90
A56,G17
A57,G13
A58,G30
A59,G98
A60,G75
A61,G65
A62,G10
A63,G61
A64,G74
A65,G15
A66,G24
A67,G53
A68,G37
A69,G68
A70,G94
A71,G61
A72,G51
A73,G77
A74,G75
A75,G66
A76,G58
A77,G81
A78,G40
A79,G19
A80,G63
A81,G83
A82,G11
A83,G73
A84,G37
A85,G37
A86,G76
A87,G65
A88,G36
A89,G80
A90,G21
A91,G87
A92,G9
A93,G74
A94,G3
A95,G75
A96,G68
A97,G89
A98,G90
A99,G2
A100,G49
