artistId,name,monthlyListeners
A1,Savage Skulls,69160973
A2,Midnight Syndicate,62875961
A3,Crimson Skulls,80472732
A4,Radio Pilots,5695182
A5,Neon Riot,26170499
A6,Liquid Vipers,27763353
A7,Velvet Riot,55545464
A8,Velvet Prophets,66315395
A9,Silent Vanguard,21025609
A10,Savage Tigers,78168995
A11,Savage Riot,19564393
A12,Savage Monkeys,36788340
A13,Solar Riot,67390053
A14,The Maiden,50248
A15,Neon Gods,10547646
A16,Silent Riot,27110208
A17,Blind Vanguard,77395722
A18,Crimson Tigers,8210415
A19,Velvet Saints,22752345
A20,Echo Monkeys,75579980
A21,Iron Prophets,69520028
A22,The Underground,72993177
A23,Riot,74761823
A24,Savage Vanguard,19062561
A25,Radio Tigers,9302625
A26,The Youth,863933
A27,Iron Pilots,16915144
A28,Silent Riot,20237296
A29,Arctic Riot,56581806
A30,Crystal Underground,77361087
A31,Savage Underground,27479489
A32,Echo Underground,9453852
A33,Electric Prophets,32841639
A34,Radio Youth,44991005
A35,Echo Maiden,42637578
A36,Electric Syndicate,57731547
A37,Midnight Monkeys,65457325
A38,Velvet Riot,30114547
A39,Electric Youth,64501445
A40,Solar Gods,54388631
A41,Silent Gods,3696934
A42,Crimson Underground,75146557
A43,Crimson Prophets,18219894
A44,Savage Underground,27802872
A45,Arctic Prophets,61779062
A46,Blind Shadows,83714618
A47,Solar Shadows,16837567
A48,Echo Gods,19827205
A49,Crystal Vipers,68262835
A50,Neon Maiden,82742534
A51,Liquid Pilots,81812330
A52,Velvet Prophets,81692231
A53,Iron Shadows,13850922
A54,Blind Vanguard,47419005
A55,Iron Saints,20985549
A56,Electric Vanguard,609393
A57,Savage Vipers,82685506
A58,Solar Syndicate,46020160
A59,Radio Shadows,64864876
A60,Neon Syndicate,56728139
A61,Radio Syndicate,78117531
A62,Blind Monkeys,28840537
A63,Liquid Gods,46761718
A64,Radio Pilots,49371440
A65,Electric Syndicate,60546942
A66,Radio Youth,78877171
A67,Electric Skulls,80645699
A68,Iron Tigers,84087238
A69,Blind Tigers,45749910
A70,Midnight Pilots,27229985
A71,Velvet Maiden,36541459
A72,Echo Skulls,18505429
A73,Savage Youth,31544498
A74,Crystal Underground,73246646
A75,Midnight Maiden,11813389
A76,Liquid Gods,23739585
A77,Solar Tigers,72473220
A78,Crystal Skulls,9359248
A79,Iron Riot,35277059
A80,Iron Maiden,68101855
A81,Iron Prophets,4429744
A82,Liquid Skulls,15449647
A83,Electric Tigers,55045436
A84,Electric Vanguard,16662530
A85,Underground,79716884
A86,Crimson Saints,10933185
A87,The Maiden,69237994
A88,Midnight Gods,83454125
A89,Midnight Maiden,19517438
A90,Iron Syndicate,8255170
A91,Electric Vanguard,38750660
A92,Neon Saints,2430385
A93,Crystal Syndicate,58728132
A94,Neon Monkeys,9766264
A95,Neon Vipers,34875408
A96,Crimson Pilots,44460664
A97,Liquid Maiden,24631623
A98,Solar Underground,4349106
A99,Crystal Tigers,25445585
A100,Radio Youth,61544091
