sourceGenreId,targetGenreId
G4,G15
G94,G68
G81,G54
G49,G81
G50,G17
G79,G96
G39,G7
G96,G72
G9,G60
G85,G60
G43,G50
G63,G37
G28,G1
G19,G61
G47,G30
G6,G51
G54,G74
G81,G8
G74,G83
G43,G8
G38,G43
G46,G25
G13,G97
G13,G36
G83,G35
G90,G65
G71,G78
G76,G64
G92,G50
G43,G65
G43,G83
G58,G87
G48,G84
G2,G7
G82,G67
G34,G12
G56,G54
G6,G4
G38,G46
G71,G64
G24,G27
G33,G62
G72,G29
G85,G59
G95,G75
G73,G97
G39,G47
G95,G47
G82,G51
G34,G86
G51,G70
G58,G97
G95,G68
G92,G80
G13,G50
G57,G65
G32,G79
G45,G59
G25,G19
G17,G45
G72,G3
G37,G41
G77,G36
G70,G19
G29,G61
G46,G54
G94,G51
G82,G100
G91,G69
G91,G82
G52,G18
G45,G69
G4,G87
G96,G95
G84,G35
G82,G99
G85,G89
G31,G19
G81,G99
G11,G35
G32,G49
G76,G82
G75,G62
G53,G59
G16,G56
G77,G78
G50,G80
G40,G47
G20,G66
G53,G49
G70,G34
G46,G53
G97,G3
G76,G11
G44,G50
G71,G14
G82,G8
G54,G30
G96,G68
G39,G10
