songId,albumId
S1,AL90
S2,AL39
S3,AL11
S4,AL27
S5,AL63
S6,AL45
S7,AL94
S8,AL76
S9,AL91
S10,AL37
S11,AL13
S12,AL87
S13,AL37
S14,AL34
S15,AL50
S16,AL11
S17,AL27
S18,AL52
S19,AL96
S20,AL6
S21,AL24
S22,AL83
S23,AL82
S24,AL83
S25,AL26
S26,AL73
S27,AL41
S28,AL98
S29,AL23
S30,AL68
S31,AL53
S32,AL14
S33,AL96
S34,AL79
S35,AL66
S36,AL21
S37,AL57
S38,AL13
S39,AL81
S40,AL84
S41,AL37
S42,AL13
S43,AL39
S44,AL60
S45,AL37
S46,AL64
S47,AL64
S48,AL55
S49,AL58
S50,AL91
S51,AL21
S52,AL24
S53,AL57
S54,AL42
S55,AL31
S56,AL20
S57,AL43
S58,AL30
S59,AL74
S60,AL26
S61,AL98
S62,AL16
S63,AL37
S64,AL15
S65,AL11
S66,AL40
S67,AL58
S68,AL22
S69,AL99
S70,AL68
S71,AL82
S72,AL57
S73,AL50
S74,AL68
S75,AL45
S76,AL56
S77,AL57
S78,AL77
S79,AL24
S80,AL42
S81,AL79
S82,AL33
S83,AL85
S84,AL33
S85,AL39
S86,AL67
S87,AL56
S88,AL40
S89,AL7
S90,AL46
S91,AL10
S92,AL32
S93,AL20
S94,AL51
S95,AL92
S96,AL2
S97,AL60
S98,AL51
S99,AL32
S100,AL55
