albumId,title
AL1,Fading Tomorrow
AL2,Live at Space
AL3,Toxic Tomorrow
AL4,Infinite Time
AL5,Echoes of the Void
AL6,Visions
AL7,Beyond the Earth
AL8,Return to Tokyo
AL9,Beyond the Midnight
AL10,Return to Time
AL11,Fading Tokyo
AL12,Beyond the Time
AL13,Visions
AL14,Heavy London
AL15,Broken Midnight
AL16,Neon Midnight
AL17,Live at London
AL18,The Golden Album
AL19,Golden Madness
AL20,Live at Earth
AL21,Visions
AL22,Echoes of Madness
AL23,Beyond the Earth
AL24,Echoes of London
AL25,Live at Time
AL26,Echoes of Earth
AL27,Live at the Sun
AL28,Echoes of the Sun
AL29,Heavy the Void
AL30,Return to Tokyo
AL31,Return to Space
AL32,Echoes of the Void
AL33,Return to Space
AL34,Fading the Sun
AL35,Live at Tomorrow
AL36,Live at Tokyo
AL37,Visions
AL38,Echoes of Space
AL39,Fading the Void
AL40,Live at Tokyo
AL41,The Broken Album
AL42,Live at London
AL43,The Neon Album
AL44,Live at London
AL45,The Broken Album
AL46,Echoes of London
AL47,Visions
AL48,Live at Tomorrow
AL49,The Neon Album
AL50,Heavy Tokyo
AL51,Beyond the the Sun
AL52,Live at Midnight
AL53,Echoes of Tomorrow
AL54,Lost Earth
AL55,Echoes of Midnight
AL56,Live at the Void
AL57,Beyond the the Sun
AL58,Sweet London
AL59,Visions
AL60,Live at Space
AL61,Return to Midnight
AL62,Live at London
AL63,Beyond the Midnight
AL64,Visions
AL65,The Toxic Album
AL66,Beyond the London
AL67,Return to Madness
AL68,Echoes of Space
AL69,Echoes of the Void
AL70,Echoes of Madness
AL71,Live at London
AL72,Visions
AL73,Beyond the Midnight
AL74,Live at Madness
AL75,Echoes of Madness
AL76,Live at Tomorrow
AL77,The Broken Album
AL78,Visions
AL79,Return to Madness
AL80,The Heavy Album
AL81,Dark the Sun
AL82,Beyond the Midnight
AL83,Cold Earth
AL84,Beyond the Space
AL85,Neon London
AL86,The Burning Album
AL87,The Infinite Album
AL88,Visions
AL89,The Loud Album
AL90,Live at the Sun
AL91,Visions
AL92,Neon Tomorrow
AL93,Live at Tokyo
AL94,Live at London
AL95,Echoes of London
AL96,Live at the Sun
AL97,Echoes of London
AL98,Live at Midnight
AL99,Beyond the Space
AL100,Echoes of London
