sourceArtistId,targetArtistId
A45,A52
A13,A37
A60,A33
A97,A75
A43,A32
A74,A17
A93,A73
A89,A82
A85,A95
A25,A7
A11,A38
A4,A69
A70,A8
A15,A92
A42,A34
A26,A25
A36,A89
A34,A17
A40,A25
A53,A27
A70,A8
A48,A58
A55,A63
A95,A94
A95,A41
A68,A98
A95,A57
A1,A82
A6,A4
A7,A96
A24,A46
A56,A18
A44,A65
A88,A57
A72,A14
A11,A87
A65,A81
A62,A8
A23,A71
A89,A4
A14,A5
A24,A93
A84,A100
A31,A16
A21,A55
A54,A8
A78,A12
A51,A18
A80,A95
A99,A32
A5,A28
A10,A23
A92,A73
A80,A61
A26,A7
A22,A67
A1,A12
A55,A81
A8,A64
A93,A7
A8,A26
A87,A9
A29,A96
A71,A45
A5,A22
A25,A93
A17,A13
A90,A38
A8,A7
A33,A74
A9,A37
A76,A68
A38,A48
A43,A33
A70,A83
A93,A21
A17,A10
A48,A94
A59,A97
A58,A36
A86,A96
A15,A92
A57,A58
A78,A25
A23,A15
A80,A49
A45,A87
A73,A72
A28,A41
A100,A52
A88,A75
A25,A97
A82,A28
A74,A53
A1,A95
A44,A18
A40,A89
A80,A26
A57,A50
A8,A77
