artistId,songId
A27,S1
A95,S2
A99,S3
A30,S4
A100,S5
A12,S6
A32,S7
A37,S8
A41,S9
A27,S10
A32,S11
A27,S12
A11,S13
A45,S14
A81,S15
A86,S16
A1,S17
A19,S18
A32,S19
A31,S20
A86,S21
A96,S22
A36,S23
A100,S24
A7,S25
A20,S26
A74,S27
A18,S28
A46,S29
A12,S30
A55,S31
A59,S32
A97,S33
A72,S34
A56,S35
A41,S36
A72,S37
A21,S38
A64,S39
A21,S40
A89,S41
A56,S42
A33,S43
A19,S44
A2,S45
A54,S46
A100,S47
A88,S48
A22,S49
A70,S50
A100,S51
A15,S52
A91,S53
A26,S54
A27,S55
A6,S56
A13,S57
A74,S58
A87,S59
A10,S60
A22,S61
A44,S62
A1,S63
A94,S64
A21,S65
A29,S66
A74,S67
A70,S68
A45,S69
A19,S70
A40,S71
A77,S72
A1,S73
A51,S74
A80,S75
A48,S76
A92,S77
A77,S78
A72,S79
A98,S80
A85,S81
A37,S82
A61,S83
A76,S84
A3,S85
A32,S86
A45,S87
A100,S88
A39,S89
A39,S90
A33,S91
A14,S92
A8,S93
A82,S94
A26,S95
A40,S96
A7,S97
A22,S98
A65,S99
A19,S100
